,city,lat,lng,Cloudiness,Country,Date,Humidity,Windspeed,Max temp
283,Port Blair,11.67,92.75,100,IN,1566660050,82,10.58,27.82
284,Berezovyy,51.67,135.7,100,RU,1566660050,97,0.9,8.82
285,Talnakh,69.49,88.39,0,RU,1566660050,93,3.0,13.0
286,Srednekolymsk,67.46,153.71,55,RU,1566660051,54,3.36,15.62
287,Lagoa,37.14,-8.45,0,PT,1566659828,42,4.1,30.56
288,Ojinaga,29.56,-104.41,1,US,1566660051,54,3.33,28.0
289,Huangcun,23.83,115.22,100,CN,1566660051,88,2.03,26.22
290,Roebourne,-20.77,117.15,0,AU,1566660051,64,3.51,18.32
291,Porto Velho,-8.75,-63.87,0,BR,1566660051,58,2.6,31.0
292,Provideniya,64.42,-173.23,0,RU,1566660052,79,1.21,7.22
293,San Luis,-33.3,-66.34,23,AR,1566660052,31,2.52,21.52
294,Kupang,-10.16,123.6,26,ID,1566660052,73,6.57,24.32
295,Biak,-0.91,122.88,65,ID,1566660193,98,2.15,17.02
296,Shingu,33.72,135.99,100,JP,1566660053,98,0.74,18.42
297,Pedernales,0.07,-80.05,99,EC,1566660053,87,5.87,22.72
298,Bilibino,68.06,166.44,26,RU,1566660053,60,2.1,7.02
299,Cidreira,-30.17,-50.22,17,BR,1566660194,54,4.16,17.82
300,Sarlat-la-Caneda,44.89,1.22,0,FR,1566660053,24,2.1,35.0
301,Panguna,-6.32,155.48,100,PG,1566660054,79,4.55,26.62
302,Abha,18.22,42.5,75,SA,1566660195,36,2.1,25.0
303,Darnah,32.77,22.64,0,LY,1566660034,80,5.8,26.22
304,Volot,57.93,30.71,51,RU,1566660054,66,3.07,19.32
305,Vila Velha,-3.71,-38.6,20,BR,1566660054,45,9.8,31.0
306,Abengourou,6.73,-3.5,62,CI,1566660055,94,2.04,24.42
307,Salmas,38.2,44.77,20,IR,1566660055,27,2.1,30.0
308,Pisco,-13.71,-76.2,90,PE,1566660055,30,3.6,22.0
309,Orange Cove,36.62,-119.31,3,US,1566660055,50,2.1,26.11
310,Ahipara,-35.17,173.16,100,NZ,1566660055,100,0.89,10.56
311,Pulaski,37.05,-80.78,90,US,1566660056,88,2.1,18.33
312,Thompson,55.74,-97.86,75,CA,1566659967,93,3.1,16.0
313,Komsomolskiy,67.55,63.78,93,RU,1566660056,65,3.96,8.72
314,Husavik,50.56,-96.99,100,CA,1566660056,57,4.92,22.22
315,San Rafael,-34.61,-68.33,0,AR,1566660057,42,1.53,16.22
316,Quimper,48.0,-4.1,0,FR,1566660057,53,3.6,27.22
317,Kyzyl-Suu,42.34,78.0,69,KG,1566660057,54,3.75,18.72
318,Yatou,3.63,9.81,75,CM,1566660057,94,1.5,24.0
319,Camabatela,-8.19,15.37,37,AO,1566660058,12,1.38,35.02
320,Linden,6.01,-58.31,75,GY,1566660058,62,2.1,32.0
321,Broken Hill,-31.97,141.45,6,AU,1566660058,66,10.3,13.0
322,Andra,62.52,65.89,100,RU,1566660058,90,5.35,12.32
323,Baijiantan,45.63,85.18,89,CN,1566660058,23,6.75,22.82
324,Dunedin,-45.87,170.5,86,NZ,1566659843,55,1.79,8.89
325,Agadez,16.97,7.99,75,NE,1566660059,49,6.2,33.0
326,La Seyne-sur-Mer,43.1,5.88,0,FR,1566660059,42,5.1,31.11
327,Mount Gambier,-37.83,140.78,60,AU,1566660093,93,3.1,3.0
328,Beringovskiy,63.05,179.32,0,RU,1566659938,90,3.04,7.12
329,Flin Flon,54.77,-101.88,90,CA,1566660198,93,2.1,17.0
330,Constitucion,23.99,-104.67,75,MX,1566660060,68,2.6,18.33
331,Kifri,34.69,44.96,0,IQ,1566660060,11,3.96,41.72
332,Iquitos,-3.75,-73.25,40,PE,1566660061,319,1.5,6.0
333,Botwood,49.14,-55.34,75,CA,1566660061,87,7.7,11.11
334,Darfield,-43.49,172.11,0,NZ,1566660061,78,1.0,3.33
335,Porto Novo,-23.68,-45.44,75,BR,1566660061,68,2.6,18.0
336,Sorong,-0.86,131.25,100,ID,1566660062,93,3.13,22.92
337,Buraydah,26.33,43.97,0,SA,1566660199,15,3.1,41.0
338,Comodoro Rivadavia,-45.87,-67.48,0,AR,1566660199,41,6.2,16.0
339,Canela,-29.36,-50.81,32,BR,1566660063,56,1.34,20.0
340,Micheweni,-4.97,39.83,45,TZ,1566660064,79,6.19,25.12
341,Bull Savanna,17.89,-77.59,0,JM,1566660064,71,2.76,28.42
342,Ambilobe,-13.19,49.05,75,MG,1566659848,74,2.46,24.62
343,Oussouye,12.49,-16.54,18,SN,1566660064,83,8.44,26.82
344,Iqaluit,63.75,-68.52,75,CA,1566660002,70,2.1,8.0
345,Puerto Colombia,10.99,-74.96,20,CO,1566660065,70,3.1,32.78
346,Carballo,43.21,-8.69,20,ES,1566660065,64,4.1,26.67
347,Tsumeb,-19.25,17.72,0,NA,1566660065,10,6.93,26.42
348,Sheridan,39.65,-105.03,20,US,1566660066,68,2.1,21.11
349,Noumea,-22.28,166.46,90,NC,1566660066,63,2.1,21.11
350,Marathon,48.72,-86.38,75,CA,1566660034,82,2.89,15.0
351,Le Mars,42.79,-96.17,20,US,1566660066,77,5.7,21.11
352,Ouadda,8.07,22.4,89,CF,1566660066,93,1.8,23.42
353,Tarko-Sale,64.92,77.78,9,RU,1566660067,89,2.61,13.33
354,Umba,66.69,34.34,100,RU,1566660067,87,2.24,12.42
355,Aswan,24.09,32.9,0,EG,1566660067,13,4.6,40.0
356,Soe,57.91,26.05,7,EE,1566660067,46,6.2,22.0
357,Nantucket,41.28,-70.1,1,US,1566659911,64,8.2,23.33
358,La Ronge,55.1,-105.3,90,CA,1566660068,100,1.5,14.0
359,Bekovo,52.46,43.7,0,RU,1566660068,56,1.75,21.02
360,Wanaka,-44.7,169.14,45,NZ,1566660068,93,3.09,-0.48
361,Christchurch,-43.53,172.64,0,NZ,1566660068,87,1.0,3.33
362,Pombal,-6.77,-37.8,2,BR,1566660069,23,3.21,34.12
363,Kendari,-3.99,122.52,14,ID,1566660069,92,0.67,22.32
364,Portland,43.66,-70.25,40,US,1566659734,56,4.1,22.22
